"","bird_id","season","period","colony","age_class","sex","deploy_num","start","end","F_dives","vert_dist","av_maxdep","dive_time","av_dive_eff","av_descr","av_descr_15","na.rm","F_dives_PH","vert_dist_PH","F_dives_PHSD","vert_dist_PHSD","br_st"
"128",51069,"2017","Moult","CROZ","Middle-age","F",2,"2018-02-01","2018-04-14",4248,488883.095648,25.9152717043314,757632,0.369030867440955,1.38389570743879,1.3727619362069,TRUE,2.42465753424658,279.042862812785,20.1849974657881,2323.00001099848,"Non breeder"
"129",51069,"2017","Returning migration","CROZ","Middle-age","F",2,"2018-08-16","2018-10-29",9229,1417290.620686,49.0226978740925,1866247,0.383337723332596,1.49028794126124,1.45606290647059,TRUE,4.99404761904762,766.932154050866,17.802788162553,2733.96085002125,"Non breeder"
"130",51069,"2017","Outgoing migration","CROZ","Middle-age","F",2,"2018-04-15","2018-05-31",1311,210405.85759,32.9051762166285,296419,0.364644644673465,1.36477286536995,1.37505937754237,TRUE,1.16223404255319,186.530015593972,15.9220562784437,2555.37292590556,"Non breeder"
"131",51069,"2017","Incubation","CROZ","Middle-age","F",2,"2017-11-03","2017-12-14",3881,517554.947684,48.1722587451688,560014,0.305114640372629,1.72073381241948,1.51597957586207,TRUE,3.59351851851852,479.217544151852,24.9486619977358,3327.05577300282,"Non breeder"
"132",51069,"2017","Migration max","CROZ","Middle-age","F",2,"2018-06-01","2018-08-15",3240,523352.381288,55.0961054290123,667036,0.369064765294763,1.53378405138889,1.47739415950413,TRUE,1.77631578947368,286.925647635965,17.4863125828291,2824.53806486726,"Non breeder"
"133",51069,"2018","Chick rearing","CROZ","Middle-age","F",3,"2018-12-16","2019-01-31",8539,1508643.688582,69.6329705480735,1784790,0.307116548814728,1.62878677295936,1.34797941222222,TRUE,7.57003546099291,1337.45007853014,17.2235389037366,3043.0007333609,"Successful breeder"
"134",51069,"2018","Moult","CROZ","Middle-age","F",3,"2019-02-01","2019-04-14",3830,498154.74474,26.6855497519582,650756,0.365617925854907,1.49570065877285,1.48595636367265,TRUE,2.18607305936073,284.334899965753,21.1876648083153,2755.80567995378,"Successful breeder"
"135",51069,"2018","Outgoing migration","CROZ","Middle-age","F",3,"2019-04-15","2019-05-31",1230,212417.41552,22.9225874634146,328813,0.423070471298324,1.42131381268293,1.46171463728324,TRUE,1.09042553191489,188.313311631206,13.4666208452829,2325.64617540061,"Successful breeder"
"136",51069,"2018","Migration max","CROZ","Middle-age","F",3,"2019-06-01","2019-08-15",6169,1133011.291632,78.208819218674,1209600,0.366252097959403,1.63365935527638,1.29505311136364,TRUE,3.38212719298246,621.168471289474,18.360119047619,3372.05741557143,"Successful breeder"
"137",51069,"2018","Incubation","CROZ","Middle-age","F",3,"2018-11-11","2018-12-15",6116,639383.392978,36.4484559973839,807148,0.375237035011584,1.53068505676913,1.58708181904762,TRUE,5.66296296296296,592.021660164815,27.2782686694386,2851.74492747402,"Successful breeder"
"138",51069,"2018","Returning migration","CROZ","Middle-age","F",3,"2019-08-16","2019-10-31",11797,1775192.121224,54.3579377019581,2097511,0.370609492544379,1.56270977011952,1.38379988450185,TRUE,6.38365800865801,960.601797199134,20.2474265927568,3046.7976741988,"Successful breeder"
"139",5139,"2016","Outgoing migration","ROYD","Middle-age","M",1,"2017-04-15","2017-05-31",2108,308495.2209,45.5522866176471,455455,0.286048779862327,1.23267450901328,1.261048375,TRUE,1.86879432624113,273.488671010638,16.6620192993819,2438.40290531447,"Failed breeder"
"140",5139,"2016","Moult","ROYD","Middle-age","M",1,"2017-02-01","2017-04-14",2131,316924.293694,28.3238793477241,615419,0.315915964238275,1.0477542292351,1.2849030202381,TRUE,1.21632420091324,180.892861697489,12.4656534816117,1853.90353125009,"Failed breeder"
"141",5139,"2016","Returning migration","ROYD","Middle-age","M",1,"2017-08-16","2017-10-31",8592,1137232.23016,47.1026546892458,2072200,0.35443759339854,1.04342050418994,1.2516972037037,TRUE,4.64935064935065,615.385405930736,14.9267445227295,1975.69540998745,"Failed breeder"
"142",5139,"2016","Migration max","ROYD","Middle-age","M",1,"2017-06-01","2017-08-15",4100,404901.151346,33.6245411195122,747542,0.357467730531424,1.09923682202439,1.2798297,TRUE,2.24780701754386,221.985280343202,19.7447099962276,1949.91605133304,"Failed breeder"
"143",5139,"2018","Migration max","ROYD","Middle-age","M",3,"2019-06-01","2019-08-15",1813,273519.321632,32.3662498896856,412431,0.425823240704775,1.24531854511859,1.39498281843972,TRUE,0.993969298245614,149.955768438596,15.8251925776675,2387.47707586287,"Successful breeder"
"144",5139,"2018","Incubation","ROYD","Middle-age","M",3,"2018-11-13","2018-12-15",1763,177570.586946,36.6960425694838,199333,0.36858625913586,1.56776373652864,1.58111369387755,TRUE,1.63240740740741,164.417210135185,31.8401870237241,3206.96579595752,"Successful breeder"
"145",5139,"2018","Chick rearing","ROYD","Middle-age","M",3,"2018-12-16","2019-01-31",8084,1456612.22144,65.0931045930233,1385906,0.308006560818597,1.62841477117763,1.82737891111111,TRUE,7.16666666666667,1291.32289134752,20.9988267602565,3783.66497957582,"Successful breeder"
